Size,Waist,Hip,Inseam
27inch,68.5,96,74.5
28inch,71,99,74.5
29inch,73.5,102,75.5
30inch,76,105,75.5
31inch,78.5,108,76.5
32inch,81.5,111,76.5
33inch,84,113,77.5
34inch,86.5,114.5,77.5
35inch,89,116.5,77.5
36inch,91.5,120,77.5
38inch,96.5,123.5,77.5
40inch,101.5,127.5,77.5
