Size,Waist,Hip,Inseam
22inch,56,90.5,78.5
23inch,58.5,93,78.5
24inch,61,95.5,78.5
25inch,63.5,98,78.5
26inch,66,100.5,78.5
27inch,68.5,103,78.5
28inch,71,105,78.5
29inch,73.5,107.5,78.5
30inch,76,110,78.5
32inch,81.5,114.5,78.5
34inch,86.5,119.5,78.5
