Size,Length,Width,Shoulder,Sleeve
XXS,67,52,47.5,48.5
XS,69,55,49,50
S,71,58,50.5,52
M,73,61,52,54
L,76,65,54,56
XL,77,69,56,57
XXL,78,72,58,58
3XL,79,76,60,59.5
