Size,Length,Shoulder,Width,Sleeve
XXS,64,49.5,49.5,50
XS,66,51,52.5,51
S,69,52.5,55.5,53
M,72,54,58.5,55
L,75,56,62.5,57
XL,77.5,58,66.5,58
XXL,77.5,60,69.5,59
3XL,80,62,73.5,60.5
