Size,Length,Shoulder,Width,Sleeve
XXS,60.5,42.5,48.5,77
XS,62,43.5,51,78.5
S,64,44.5,53.5,79.5
M,66,46,56.5,81.5
L,68,47.5,59.5,82
XL,70.5,48.5,62.5,82.5
XXL,72,49.5,65.5,83
