Size,Waist,Hip,Inseam
27inch,68.5,89,86.5
28inch,71,91.5,86.5
29inch,73.5,94,86.5
30inch,76,96.5,86.5
31inch,78.5,99,86.5
32inch,81.5,101.5,86.5
33inch,84,104.5,86.5
34inch,86.5,107,86.5
35inch,89,110,86.5
36inch,91.5,113,86.5
38inch,96.5,117.5,86.5
40inch,101.5,123,86.5
