Size,Length,Width,Shoulder,Sleeve
XS,63,47,40,82
S,66,50,41.5,84.5
M,69,53,43,87
L,72,57,45,89.5
XL,75,61,47,91.5
XXL,76,65,49,92.5
3XL,77,69,51,93.5
