Size,Length,Shoulder,Width,Sleeve
XXS,56,34,41,74
XS,57.5,35,43.5,75.5
S,59.5,36,46,76.5
M,61.5,37.5,49,78.5
L,63.5,39,52,79
XL,66,40,55,79.5
XXL,67.5,41,57,80
